,six_letter_name_Ronco,total_rest,peak_amplitude,peak,day_night_dif,cluster
0,Altcal,14.152500000000003,8.67826388888889,0.40277777777777773,-0.09688077196515009,1
1,Altcom,11.536666666666667,10.941111111111114,0.6388888888888888,0.19665849345890915,2
2,Altshe,17.582857142857144,6.977380952380953,0.28571428571428564,0.09149633032297057,8
3,Astbur,4.944545454545454,9.121136363636365,0.5833333333333331,0.4294522195252259,7
4,Auldew,2.9041666666666663,9.21701388888889,0.5347222222222222,0.06238460188031746,1
5,Boumic,4.72,10.390952380952383,0.7976190476190476,0.38297284209331267,7
6,Calple,7.163333333333335,8.700277777777774,0.5694444444444444,0.27048609389984835,7
7,Chacya,3.39,16.431666666666665,0.7916666666666666,-0.16012207516105026,1
8,Cphfro,3.3763636363636365,10.039848484848482,0.7045454545454549,0.12452903251695027,1
9,Ctehor,3.39125,11.789270833333333,0.65625,0.08360515253297679,7
10,Cypcol,11.216363636363637,5.142121212121212,0.4242424242424242,0.426427342979142,7
11,Cyplep,10.860833333333332,3.723055555555556,0.3472222222222223,0.1484576838488519,7
12,Enamel,11.02727272727273,13.137045454545454,0.5075757575757576,0.11506927870409639,12
13,Erecya,11.94,18.248611111111106,0.8333333333333334,0.40001251015559397,7
14,Gnapfe,11.641428571428571,16.972023809523815,0.4642857142857144,-0.08735346146753033,1
15,Hapred,5.136666666666667,22.721527777777784,0.7847222222222223,0.27052563397398527,7
16,Juldic,9.76090909090909,12.496666666666668,0.7727272727272726,0.2711256819363755,5
17,Julmrk,12.586666666666666,7.732777777777778,0.5833333333333334,0.09718364072663394,6
18,Julorn,13.143636363636364,4.8387121212121205,0.5303030303030303,0.2966545921057527,7
19,Lamoce,12.741111111111111,12.033981481481486,0.5925925925925927,-0.13320437798547702,1
20,Lamsig,15.124615384615383,1.3230128205128209,0.16666666666666669,0.7108339541775941,7
21,Lepatt,10.391000000000002,14.820000000000002,0.6583333333333333,0.11105166756102161,2
22,Lepelo,12.68916666666667,15.176041666666665,0.7638888888888892,0.2007642540983361,4
23,Limdar,2.05,8.95702380952381,0.5476190476190476,-0.012583875319662586,7
24,Loblab,3.9699999999999998,18.545416666666664,0.9166666666666669,0.1809051720946731,7
25,Neobre,14.609090909090908,10.141818181818183,0.5075757575757577,-0.21900087618155897,1
26,Neobri,5.458333333333333,10.613819444444443,0.6249999999999999,0.2115405630709417,7
27,Neobue,6.64,10.825972222222221,0.8055555555555555,0.5022860239343769,7
28,Neocau,12.625,6.859583333333334,0.4166666666666666,-0.05864310395450494,4
29,Neocra,9.284545454545453,4.53212121212121,0.3787878787878789,0.24045543924088084,7
30,Neocyg,10.445833333333333,4.740000000000001,0.3333333333333333,0.026766750654670397,2
31,Neocyl,4.975833333333333,4.085555555555557,0.4930555555555554,-0.14918083311591,1
32,Neodev,5.98,14.424583333333336,0.8194444444444445,0.1357579777453643,11
33,NeofaM,11.583333333333334,4.740277777777778,0.39814814814814825,0.2468844118049715,7
34,Neofal,4.846666666666667,10.188888888888885,0.6527777777777778,-0.014723153647226631,2
35,Neogra,5.3999999999999995,1.9450000000000005,0.18939393939393945,0.07386104704604858,7
36,Neohel,9.334285714285715,11.656785714285716,0.6666666666666666,0.03556961029964334,2
37,Neokom,11.426666666666668,13.09013888888889,0.6388888888888888,0.037448593805856016,2
38,Neolon,2.6271428571428572,21.249642857142863,0.8809523809523813,0.1501775578693941,5
39,Neomar,6.158571428571428,7.206785714285715,0.6309523809523808,0.3425956462891886,7
40,Neomul,5.072222222222222,13.931018518518517,0.5833333333333334,-0.24665476748052445,1
41,Neonig,4.961666666666667,13.563819444444446,0.736111111111111,-0.21753522967672026,1
42,Neooli,5.420000000000001,11.764027777777782,0.75,-0.15650571273436634,2
43,Neopul,4.3875,14.582222222222223,0.6805555555555555,0.25104810568908087,9
44,Neosav,10.038,9.834500000000002,0.7000000000000001,0.26800645601932727,7
45,Neotoa,4.346363636363637,9.753787878787879,0.6060606060606059,-0.38080838815999757,1
46,Neotre,6.5737499999999995,6.874375,0.5625,-0.38968650986706843,1
47,NeoveS,12.39875,2.2211458333333343,0.2708333333333334,0.4375978509145066,7
48,Neowal,7.495,10.503958333333333,0.7291666666666666,-0.029608975403158343,1
49,Ophboo,0.819,24.820416666666667,0.7916666666666669,-0.046017303397363755,1
50,Pcynig,10.773636363636363,7.410075757575755,0.6439393939393938,0.10026267907225138,4
51,Petpol,4.16909090909091,33.48250000000001,0.7424242424242423,0.07328664157651067,2
52,Telluf,4.761428571428572,13.570119047619047,0.7738095238095238,0.08174351314702547,7
53,TelteS,18.504166666666666,10.297638888888885,0.5486111111111109,-0.22796588750158356,1
54,Telvit,12.674999999999999,1.672708333333333,0.13541666666666666,-0.2227490566310728,10
55,Trioto,7.708749999999999,15.754374999999998,0.7604166666666669,-0.019929593094957163,2
56,Tromoo,4.37,31.10738095238096,0.7976190476190476,0.21836551144645996,7
57,Tronig,4.494999999999999,19.070555555555554,0.8819444444444445,0.3775216122677731,7
58,Tylpol,3.1174999999999997,17.575833333333332,0.8958333333333334,-0.15114114518831234,2
59,Varmoo,8.015714285714287,4.199642857142856,0.28571428571428564,-0.021095241041008298,3
60,Xenbat,13.85375,1.1142500000000002,0.08750000000000001,-0.15273567622980874,1
61,Xenspi,7.255,4.880972222222222,0.3333333333333333,-0.07581714994970944,1
