"","species_our_names","size_mean","size_max","six_letter_name_Ronco"
"1","Aaltolamprologus calvus",4.44166666666667,5.8,"Altcal"
"2","Altolamprologus compressiceps",6.93333333333333,8.7,"Altcom"
"3","Altolamprologus shell",3.92857142857143,4.9,"Altshe"
"4","Astatotilapia burtonichipwa",5.12727272727273,6.1,"Astbur"
"5","Aulonocranus dewindti",5.15833333333333,6.6,"Auldew"
"6","Boulengerochromis microlepis",9.8,11.3,"Boumic"
"7","Callochromis pleurospilus",4.30833333333333,5,"Calple"
"8","Chalinochromis cyanophleps",6.65,8.2,"Chacya"
"9","Chalinochromis dickfeldi",5,5.7,"Juldic"
"10","Ctenochromis horei",8.325,9.5,"Ctehor"
"11","Cyphotilapia frontosa",5.25454545454545,7.8,"Cphfro"
"12","Cyprichromi coloratus jumbo",7.03636363636364,8,"Cypcol"
"13","Cyprichromis leptosoma",4.96666666666667,5.6,"Cyplep"
"14","Enantiopus melanogenys",8.95454545454546,10.8,"Enamel"
"15","Eretmodus cyanostictus",5.46666666666667,6.8,"Erecya"
"16","Gnathochromis pfefferi",5.3,5.9,"Gnapfe"
"17","Haplochromis 'red back scraper'",5.56666666666667,6.7,"Hapred"
"18","Julidochromis marksmithi",5.35,7.5,"Julmrk"
"19","Julidochromis ornatus",5.93636363636364,7.1,"Julorn"
"20","Julidochromis regani",4.46,4.6,"Julmrk"
"21","Lamprologus ocellatus",3.03333333333333,3.5,"Lamoce"
"22","Lamprologus signatus",3.23846153846154,4,"Lamsig"
"23","Lepidiolamprologus attenuatus",5.43,6,"Lepatt"
"24","Lepidiolamprologus elongatus",5.95,6.9,"Lepelo"
"25","Limnotilapia dardennii",10.5428571428571,13.3,"Limdar"
"26","Lobochilotes labiatus",6.5,7.2,"Loblab"
"27","Neolamprologus brevis",3.20909090909091,4.5,"Neobre"
"28","Neolamprologus brichardi",5.59166666666667,7.3,"Neobri"
"29","Neolamprologus buescheri",4.49166666666667,5.5,"Neobue"
"30","Neolamprologus caudopunctatus",4.25,5.1,"Neocau"
"31","Neolamprologus crassus",4.87272727272727,5.8,"Neocra"
"32","Neolamprologus cygnus",5.55833333333333,8,"Neocyg"
"33","Neolamprologus cylindricus",5.075,6.2,"Neocyl"
"34","Neolamprologus devosi",5.28333333333333,6.4,"Neodev"
"35","Neolamprologus falcicula",4.48333333333333,6.2,"Neofal"
"36","Neolamprologus faM",4.55555555555556,6.5,"NeofaM"
"37","Neolamprologus gracilis",4.74545454545455,7,"Neogra"
"38","Neolamprologus helianthus",5.3,7.1,"Neohel"
"39","Neolamprologus kombe",5.03333333333333,6.5,"Neokom"
"40","Neolamprologus longicaudatus",7.58571428571429,9.8,"Neolon"
"41","Neolamprologus marunguensis",5.41428571428571,6.3,"Neomar"
"42","Neolamprologus multifasciatus",3.03333333333333,4.2,"Neomul"
"43","Neolamprologus niger",5.15,7.2,"Neonig"
"44","Neolamprologus olivaceous",4.90909090909091,7.8,"Neooli"
"45","Neolamprologus pulcher daffodil",5.94166666666667,6.5,"Neopul"
"46","Neolamprologus savoryi",5.33,7.6,"Neosav"
"47","Neolamprologus toae",5.43636363636364,6.4,"Neotoa"
"48","Neolamprologus tretocephalus",5.9375,6.4,"Neotre"
"49","Neolamprologus ventralis",4.7375,5.1,"NeoveS"
"50","Neolamprologus walteri",2.825,3.3,"Neowal"
"51","Ophthalmotilapia boops",5.6,6.2,"Ophboo"
"52","Paracyprichromis nigripinnis",4.81818181818182,5.2,"Pcynig"
"53","Petrochromis polyodon",6.23636363636364,7.1,"Petpol"
"54","Telmatochromis 'shell' temporalis",3.71666666666667,4.7,"TelteS"
"55","Telmatochromis lufubu",5.31428571428571,7.5,"Telluf"
"56","Telmatochromis vittatus",4.025,5.2,"Telvit"
"57","Triglachromis otostigma",4.8625,5.4,"Trioto"
"58","Tropheus bemba",5.05833333333333,5.9,"Tronig"
"59","Tropheus moorii",7.4,8.7,"Tromoo"
"60","Tylochromis polylepis",8.3,11.9,"Tylpol"
"61","Variabilichromis moorii",4.87142857142857,6,"Varmoo"
"62","Xenotilapia bathyphila",5.1625,6.1,"Xenbat"
"63","Xenotilapia spiloptera",6.65,8.2,"Xenspi"
