species,corr_coef
Altcal,0.46823440134628735
Altcom,0.6721905607091951
Altshe,0.34704741114642257
Astbur,0.6865576632735187
Auldew,0.2222157463908163
Boumic,0.9018801787401909
Calple,0.3373054567449021
Chacya,0.591434293817154
Cphfro,0.33100017002940924
Ctehor,0.4688797922278734
Cypcol,0.5010422474948298
Cyplep,0.3974819408051562
Enamel,0.29289113890795554
Erecya,0.5049530980878293
Gnapfe,0.23359472757099176
Juldic,0.5014999634594065
Julmrk,0.4037574261135738
Julorn,0.38058571536008384
Lamoce,0.4512846810486363
Lamsig,0.7953952768185956
Lepatt,0.32487073878190054
Lepelo,0.45227586458381347
Limdar,0.3751198780094881
Loblab,0.4773539121762056
Neobre,0.32944727813065594
Neobri,0.35756498968983896
Neobue,0.8376628690613325
Neocau,0.38707953120300226
Neocra,0.23675753690327223
Neocyg,0.15477217878995359
Neocyl,0.29304583031993
Neodev,0.31702337021551213
NeofaM,0.2777866254609061
Neofal,0.3071013862201392
Neogra,0.1503906696809911
Neohel,0.2896388610836048
Neokom,0.19153701083618357
Neolon,0.4547781851073733
Neomar,0.44742947576638087
Neomul,0.6552758791956372
Neonig,0.6259008868897102
Neooli,0.36786787253714764
Neopul,0.4075182160072896
Neosav,0.3711548197585408
Neotoa,0.9008102907296899
Neotre,0.4537747040668596
NeoveS,0.5834234802131755
Neowal,0.32659231648868514
Ophboo,0.5792071789627518
Pcynig,0.43035373864294846
Petpol,0.2878600946273862
Telluf,0.47612516491458823
TelteS,0.4700788359273825
Telvit,0.361247534358087
Trioto,0.4545581866215204
Tromoo,0.4989563269163441
Tronig,0.5607986267788077
Varmoo,0.22137011048682348
Xenbat,0.3396788710865784
Xenspi,0.44789602172521653
